n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_002,0,32.73701435559434,-117.2039022957529,Rwy_01_003,1,32.73659258561919,-117.2021476068949
Rwy_01_003,1,32.73659258561919,-117.2021476068949,Rwy_01_004,2,32.73650670611982,-117.2018106200552
Rwy_01_004,2,32.73650670611982,-117.2018106200552,Txy_B7_001,18,32.73587071353893,-117.2020931293547
Txy_B7_001,18,32.73587071353893,-117.2020931293547,Txy_B7_B,17,32.73556081184264,-117.2021981210192
Txy_B7_B,17,32.73556081184264,-117.2021981210192,Txy_B7_002,19,32.73523711606913,-117.2023057574812
Ramp_01_004,217,32.73495582732441,-117.2024024382552,Txy_B7_002,19,32.73523711606913,-117.2023057574812
Txy_B8_001,15,32.73635910116317,-117.204105316484,Rwy_01_002,0,32.73701435559434,-117.2039022957529
Txy_B8_001,15,32.73635910116317,-117.204105316484,Txy_B8_B,16,32.73605340772621,-117.2042108322098
Txy_B8_B,16,32.73605340772621,-117.2042108322098,Txy_B7_B,17,32.73556081184264,-117.2021981210192
Txy_B7_B,17,32.73556081184264,-117.2021981210192,Txy_B_001,22,32.73488497433521,-117.1994075062058
Txy_B6_B,21,32.73468990217466,-117.1985952651041,Txy_B_001,22,32.73488497433521,-117.1994075062058
Txy_B6_001,20,32.73498796067629,-117.1984685806438,Txy_B6_B,21,32.73468990217466,-117.1985952651041
Rwy_01_005,3,32.73561941339775,-117.1981618286755,Txy_B6_001,20,32.73498796067629,-117.1984685806438
Rwy_01_004,2,32.73650670611982,-117.2018106200552,Rwy_01_005,3,32.73561941339775,-117.1981618286755
Rwy_01_005,3,32.73561941339775,-117.1981618286755,Rwy_01_006,4,32.7347686741188,-117.1946478679158
Rwy_01_006,4,32.7347686741188,-117.1946478679158,Txy_B5_001,26,32.73414101614954,-117.1949759742559
Txy_B5_001,26,32.73414101614954,-117.1949759742559,Txy_B5_B,27,32.7338409566971,-117.195081215958
Txy_B5_B,27,32.7338409566971,-117.195081215958,Txy_B_003,24,32.7342662213094,-117.1968466411289
Txy_B_003,24,32.7342662213094,-117.1968466411289,Txy_B6_B,21,32.73468990217466,-117.1985952651041
Txy_B_005,28,32.73361127559551,-117.1941063661605,Txy_B5_B,27,32.7338409566971,-117.195081215958
Txy_B_005,28,32.73361127559551,-117.1941063661605,Txy_B_007,30,32.73315010260849,-117.1922325640681
Txy_B_007,30,32.73315010260849,-117.1922325640681,Txy_B_B4,37,32.73307573370913,-117.1919302817369
Txy_B_B4,37,32.73307573370913,-117.1919302817369,Txy_B4_001,32,32.73332635149287,-117.1916307045214
Txy_B4_001,32,32.73332635149287,-117.1916307045214,Rwy_01_007,5,32.73394031277718,-117.1912278954962
Rwy_01_007,5,32.73394031277718,-117.1912278954962,Rwy_01_006,4,32.7347686741188,-117.1946478679158
Txy_B4_002,33,32.7345497139674,-117.1908280944368,Rwy_01_007,5,32.73394031277718,-117.1912278954962
Txy_B_B4,37,32.73307573370913,-117.1919302817369,Txy_B_009,35,32.73274219828399,-117.1905557441687
Txy_B_009,35,32.73274219828399,-117.1905557441687,Txy_B_010,36,32.73246372183773,-117.1906492705807
Txy_B_012,55,32.73266417478389,-117.1902316441465,Txy_B_011,38,32.73239285294358,-117.1903606687293
Txy_B_009,35,32.73274219828399,-117.1905557441687,Txy_B_012,55,32.73266417478389,-117.1902316441465
Txy_B_012,55,32.73266417478389,-117.1902316441465,Txy_B3_B,39,32.73228465743571,-117.1886703253863
Txy_B3_B,39,32.73228465743571,-117.1886703253863,Txy_B_B2,41,32.73136021069685,-117.1848486820624
Txy_B_B2,41,32.73136021069685,-117.1848486820624,Txy_B2_001,42,32.73166085749435,-117.1847379914317
Txy_B2_001,42,32.73166085749435,-117.1847379914317,Rwy_01_009,7,32.73230967520488,-117.1845057641867
Rwy_01_009,7,32.73230967520488,-117.1845057641867,Txy_C2_001,46,32.73296971246449,-117.184288771201
Txy_C2_001,46,32.73296971246449,-117.184288771201,Txy_C2_C,47,32.73327154633945,-117.184198591203
Txy_C2_C,47,32.73327154633945,-117.184198591203,Txy_C_004,190,32.7335830552573,-117.1851893785995
Txy_C_004,190,32.7335830552573,-117.1851893785995,Txy_C_005,191,32.73373799352601,-117.1856779757897
Txy_C_005,191,32.73373799352601,-117.1856779757897,Txy_C_006,192,32.73384576018533,-117.1861189943631
Txy_C_006,192,32.73384576018533,-117.1861189943631,Txy_C_007,193,32.73395957110338,-117.186592285454
Txy_C_007,193,32.73395957110338,-117.186592285454,Txy_C_008,194,32.73406834304309,-117.187041672607
Txy_C_008,194,32.73406834304309,-117.187041672607,Txy_C_009,195,32.7341831528561,-117.1875077925162
Txy_C_009,195,32.7341831528561,-117.1875077925162,Txy_C3_C,45,32.7342949492877,-117.1879872300624
Txy_C3_C,45,32.7342949492877,-117.1879872300624,Txy_C3_001,44,32.73388905776167,-117.1881090754477
Txy_C3_001,44,32.73388905776167,-117.1881090754477,Rwy_01_008,6,32.73324408675502,-117.1883493074599
Rwy_01_008,6,32.73324408675502,-117.1883493074599,Txy_B3_001,40,32.73258803502459,-117.1885526974913
Txy_B3_001,40,32.73258803502459,-117.1885526974913,Txy_B3_B,39,32.73228465743571,-117.1886703253863
Rwy_01_008,6,32.73324408675502,-117.1883493074599,Rwy_01_009,7,32.73230967520488,-117.1845057641867
Rwy_01_008,6,32.73324408675502,-117.1883493074599,Rwy_01_007,5,32.73394031277718,-117.1912278954962
