n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_003,3,43.56670179675199,-116.2328777175431,Rwy_01_004,4,43.56591160690299,-116.2305502575645
Rwy_01_002,2,43.56857988878141,-116.2383873116798,Rwy_01_003,3,43.56670179675199,-116.2328777175431
Rwy_01_004,4,43.56591160690299,-116.2305502575645,Rwy_01_005,5,43.56406867706549,-116.2251580022998
Rwy_01_005,5,43.56406867706549,-116.2251580022998,Rwy_01_006,6,43.56375451010605,-116.2242532354148
Rwy_01_006,6,43.56375451010605,-116.2242532354148,Rwy_01_007,7,43.56363869803638,-116.2238915769074
Rwy_01_007,7,43.56363869803638,-116.2238915769074,Rwy_01_008,8,43.56123545139266,-116.216841532049
Rwy_01_008,8,43.56123545139266,-116.216841532049,Rwy_01_009,9,43.56114228250214,-116.2165620280183
Rwy_01_009,9,43.56114228250214,-116.2165620280183,Rwy_01_010,10,43.55989307095899,-116.2128994687063
Rwy_01_010,10,43.55989307095899,-116.2128994687063,Rwy_01_011,11,43.55898550315055,-116.2102442056267
Rwy_01_011,11,43.55898550315055,-116.2102442056267,Rwy_01-012,14,43.5587640664635,-116.2096047989895
Rwy_01_002,2,43.56857988878141,-116.2383873116798,Rwy_01_001,1,43.56999109275807,-116.2424992839601
Rwy_01_001,1,43.56999109275807,-116.2424992839601,Txy_J_003,63,43.5704659883614,-116.2413091212953
Txy_J_003,63,43.5704659883614,-116.2413091212953,Txy_J_004,64,43.57060968774551,-116.2405853879372
Txy_J_004,64,43.57060968774551,-116.2405853879372,Txy_J_Z,65,43.57088921512593,-116.2389743290423
Txy_J_Z,65,43.57088921512593,-116.2389743290423,Rwy_02_001,12,43.57019647391138,-116.2369064015957
Rwy_02_001,12,43.57019647391138,-116.2369064015957,Rwy_02_002,13,43.57012579963538,-116.2366840282205
Rwy_02_002,13,43.57012579963538,-116.2366840282205,Rwy_02_003,15,43.56765709931604,-116.2294234121568
Rwy_02_003,15,43.56765709931604,-116.2294234121568,Txy_G_002,58,43.56695693997938,-116.2298741896342
Txy_G_002,58,43.56695693997938,-116.2298741896342,Txy_G_001,57,43.56659648466825,-116.2301060567777
Txy_G_001,57,43.56659648466825,-116.2301060567777,Rwy_01_004,4,43.56591160690299,-116.2305502575645
Txy_J_Z,65,43.57088921512593,-116.2389743290423,Txy_J_006,66,43.57110856933302,-116.2363520393642
Txy_J_006,66,43.57110856933302,-116.2363520393642,Txy_J_A,67,43.57107486540527,-116.2360271332913
Txy_J_A,67,43.57107486540527,-116.2360271332913,Txy_A_001,68,43.57084454350476,-116.2363367126323
Txy_A_001,68,43.57084454350476,-116.2363367126323,Rwy_02_002,13,43.57012579963538,-116.2366840282205
Txy_J_A,67,43.57107486540527,-116.2360271332913,Txy_A_002,69,43.57036349616756,-116.2338431620565
Txy_A_002,69,43.57036349616756,-116.2338431620565,Txy_A_050,155,43.56986604463582,-116.2323639518229
Txy_A_050,155,43.56986604463582,-116.2323639518229,Txy_A_003,70,43.56945559011645,-116.2311842819545
Txy_A_003,70,43.56945559011645,-116.2311842819545,Txy_A7_A,72,43.56932534729844,-116.2307423050094
Txy_A7_A,72,43.56932534729844,-116.2307423050094,Txy_G_A,60,43.56863145184664,-116.2287378860361
Txy_G_A,60,43.56863145184664,-116.2287378860361,Txy_G_003,59,43.5683366058757,-116.228984539213
Txy_G_003,59,43.5683366058757,-116.228984539213,Rwy_02_003,15,43.56765709931604,-116.2294234121568
Txy_A_050,155,43.56986604463582,-116.2323639518229,Ramp_Deice_002,154,43.57011721704487,-116.2322256975806
Ramp_Deice_002,154,43.57011721704487,-116.2322256975806,Parking_Deice_002,153,43.57077294146551,-116.2319114329653
Txy_A7_A,72,43.56932534729844,-116.2307423050094,Txy_A7_001,79,43.56958896146112,-116.2306679440326
Txy_A7_001,79,43.56958896146112,-116.2306679440326,Txy_A7_003,88,43.57013289180615,-116.2305965576246
Txy_A7_003,88,43.57013289180615,-116.2305965576246,Txy_A7_002,80,43.57045128648339,-116.2305308373344
Txy_A7_002,80,43.57045128648339,-116.2305308373344,Txy_A6_002,77,43.57032274115253,-116.2276847044849
Parkiong_02_009,164,43.57060625063035,-116.2286822909309,Txy_A6_002,77,43.57032274115253,-116.2276847044849
Txy_A6_002,77,43.57032274115253,-116.2276847044849,Txy_A6_003,81,43.57001349407568,-116.2278172240328
Txy_A6_003,81,43.57001349407568,-116.2278172240328,Parking_02_001,156,43.57008147514982,-116.2293118339238
Parking_02_001,156,43.57008147514982,-116.2293118339238,Txy_A7_003,88,43.57013289180615,-116.2305965576246
Parking_02_002,157,43.56974475456679,-116.2290059259172,Txy_A6_004,82,43.56969947800256,-116.2280138523763
Parking_02_003,158,43.5694735431987,-116.2297911972003,Txy_A6_005,83,43.56939025818015,-116.2282137093731
Txy_A6_005,83,43.56939025818015,-116.2282137093731,Txy_A6_004,82,43.56969947800256,-116.2280138523763
Txy_A6_004,82,43.56969947800256,-116.2280138523763,Txy_A6_003,81,43.57001349407568,-116.2278172240328
Txy_A6_005,83,43.56939025818015,-116.2282137093731,Txy_A6_006,84,43.5690843166033,-116.2284099845549
Txy_A6_006,84,43.5690843166033,-116.2284099845549,Txy_A6_001,78,43.56886555237342,-116.2285567167444
Txy_A6_001,78,43.56886555237342,-116.2285567167444,Txy_G_A,60,43.56863145184664,-116.2287378860361
Txy_G_A,60,43.56863145184664,-116.2287378860361,Txy_A_004,71,43.56843036237766,-116.2281913909839
Txy_A5_A,73,43.56789676255535,-116.2265227477794,Txy_A_004,71,43.56843036237766,-116.2281913909839
Txy_A5_A,73,43.56789676255535,-116.2265227477794,Txy_E_A,56,43.56702055363492,-116.2240224433136
Txy_E_A,56,43.56702055363492,-116.2240224433136,Txy_A_005,89,43.5668531584037,-116.2235412072436
Txy_A5_A,73,43.56789676255535,-116.2265227477794,Txy_A5_001,74,43.56812285130572,-116.226371804788
Txy_A5_001,74,43.56812285130572,-116.226371804788,Txy_A5_002,75,43.56865926788966,-116.2260340036306
Txy_A5_002,75,43.56865926788966,-116.2260340036306,Txy_A5_004,85,43.56929481291509,-116.2257256314771
Txy_A5_004,85,43.56929481291509,-116.2257256314771,Txy_A5_005,86,43.56960247787205,-116.225609722528
Txy_A5_005,86,43.56960247787205,-116.225609722528,Txy_A5_006,87,43.56991461826849,-116.225527990545
Txy_A5_006,87,43.56991461826849,-116.225527990545,Txy_A5_003,76,43.57023046891,-116.2254831971023
Txy_A5_003,76,43.57023046891,-116.2254831971023,Parking_02_010,165,43.57052222222222,-116.2261666666667
Txy_A6_002,77,43.57032274115253,-116.2276847044849,Txy_A5_003,76,43.57023046891,-116.2254831971023
Txy_A5_006,87,43.56991461826849,-116.225527990545,Parking_02_004,159,43.56995787404145,-116.226655000014
Parking_02_004,159,43.56995787404145,-116.226655000014,Txy_A6_003,81,43.57001349407568,-116.2278172240328
Parking_02_005,160,43.56967870087243,-116.2274493436259,Txy_A6_004,82,43.56969947800256,-116.2280138523763
Parking_02_005,160,43.56967870087243,-116.2274493436259,Txy_A5_005,86,43.56960247787205,-116.225609722528
Txy_A5_004,85,43.56929481291509,-116.2257256314771,Parking_02_006,161,43.56932142474231,-116.226470800727
Parking_02_006,161,43.56932142474231,-116.226470800727,Txy_A6_005,83,43.56939025818015,-116.2282137093731
Parking_02_007,162,43.56903348395856,-116.2270706049553,Txy_A6_006,84,43.5690843166033,-116.2284099845549
Parking_02_008,163,43.56873501530162,-116.2275633067255,Txy_A5_002,75,43.56865926788966,-116.2260340036306
Rwy_02_003,15,43.56765709931604,-116.2294234121568,Rwy_02_004,16,43.56582497655938,-116.2240814635308
Rwy_02_004,16,43.56582497655938,-116.2240814635308,Rwy_02_005,17,43.5634414457851,-116.2170752189323
Rwy_02_005,17,43.5634414457851,-116.2170752189323,Rwy_02_006,18,43.56162692132546,-116.2117817434093
Rwy_02_006,18,43.56162692132546,-116.2117817434093,Rwy_02_007,19,43.56071384915642,-116.2090867107551
Gate_01_001,167,43.568333210669,-116.2233550778316,Ramp_01_024,210,43.56778712502553,-116.22290365594
Ramp_01_024,210,43.56778712502553,-116.22290365594,Gate_01_002,168,43.56777369438596,-116.2222709267089
Ramp_01_023,209,43.56757677716923,-116.2230344435627,Gate_01_003,169,43.56747151920088,-116.2223886631723
Ramp_01_022,208,43.56726351306805,-116.2232442890392,Gate_01_004,170,43.56718564483759,-116.2226426108923
Ramp_01_024,210,43.56778712502553,-116.22290365594,Ramp_01_023,209,43.56757677716923,-116.2230344435627
Ramp_01_023,209,43.56757677716923,-116.2230344435627,Ramp_01_022,208,43.56726351306805,-116.2232442890392
Ramp_01_022,208,43.56726351306805,-116.2232442890392,Ramp_01_001,166,43.56704974396239,-116.2233810811307
Ramp_01_001,166,43.56704974396239,-116.2233810811307,Txy_A_005,89,43.5668531584037,-116.2235412072436
Txy_A_005,89,43.5668531584037,-116.2235412072436,Txy_A_006,90,43.56646628369485,-116.2224300152483
Txy_E_004,55,43.56664201064473,-116.2240077816982,Txy_E_A,56,43.56702055363492,-116.2240224433136
Rwy_02_004,16,43.56582497655938,-116.2240814635308,Txy_E_004,55,43.56664201064473,-116.2240077816982
Rwy_02_004,16,43.56582497655938,-116.2240814635308,Txy_E_003,0,43.56501754063221,-116.2241484643446
Txy_E_003,0,43.56501754063221,-116.2241484643446,Txy_E_002,139,43.56459481530978,-116.2241675778033
Txy_E_002,139,43.56459481530978,-116.2241675778033,Rwy_01_006,6,43.56375451010605,-116.2242532354148
Rwy_01_006,6,43.56375451010605,-116.2242532354148,Txy_E_001,34,43.56297692297188,-116.2243839807053
Txy_E_001,34,43.56297692297188,-116.2243839807053,TXY_E_B1,131,43.56251334833584,-116.2243642718884
Txy_E_021,135,43.5615320680562,-116.224416294325,TXY_E_B1,131,43.56251334833584,-116.2243642718884
