n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_03_001,19,41.41706984043706,-81.85527856686159,Txy_S_001,40,41.41624500856955,-81.8553357349738
Rwy_03_002,20,41.41696295670338,-81.85288236005405,Rwy_03_001,19,41.41706984043706,-81.85527856686159
Rwy_03_002,20,41.41696295670338,-81.85288236005405,Rwy_03_003,21,41.41684602115423,-81.85010611908571
Rwy_03_003,21,41.41684602115423,-81.85010611908571,Rwy_03_004,22,41.41657409260566,-81.84402998613078
Rwy_03_004,22,41.41657409260566,-81.84402998613078,Rwy_03_005,23,41.41655242615416,-81.84340955378187
Rwy_03_005,23,41.41655242615416,-81.84340955378187,Rwy_03_02,24,41.41651782303003,-81.84261482401583
Rwy_03_02,24,41.41651782303003,-81.84261482401583,Rwy_03_006,25,41.41648416055871,-81.84185692502794
Rwy_03_006,25,41.41648416055871,-81.84185692502794,Rwy_03_007,26,41.41645914923026,-81.84131066865993
Rwy_03_007,26,41.41645914923026,-81.84131066865993,Rwy_02_03,17,41.41641565563948,-81.84032951471174
Rwy_02_03,17,41.41641565563948,-81.84032951471174,Rwy_03_008,27,41.41635089500376,-81.83882189502332
Rwy_03_008,27,41.41635089500376,-81.83882189502332,Rwy_03_009,28,41.41625743253928,-81.8366586830438
Rwy_03_009,28,41.41625743253928,-81.8366586830438,Rwy_03_010,29,41.41611024477137,-81.83393570249386
Rwy_03_010,29,41.41611024477137,-81.83393570249386,Txy_JJ_001,147,41.41534662597754,-81.83369231729117
Txy_JJ_001,147,41.41534662597754,-81.83369231729117,Txy_JJ_J,148,41.41503207057549,-81.8335453039278
Rwy_02_010,18,41.41697122492154,-81.83945028133164,Rwy_02_03,17,41.41641565563948,-81.84032951471174
Rwy_04_010,39,41.41771816738712,-81.84068078924072,Rwy_02_010,18,41.41697122492154,-81.83945028133164
Rwy_04_010,39,41.41771816738712,-81.84068078924072,Rwy_04_009,38,41.41729049591135,-81.84145375508102
Rwy_04_009,38,41.41729049591135,-81.84145375508102,Rwy_04_008,37,41.41711482707616,-81.8417418886099
Rwy_04_008,37,41.41711482707616,-81.8417418886099,Rwy_03_02,24,41.41651782303003,-81.84261482401583
Rwy_03_02,24,41.41651782303003,-81.84261482401583,Rwy_04_007,36,41.41586099763962,-81.84370765303171
Rwy_04_007,36,41.41586099763962,-81.84370765303171,Rwy_04_006,35,41.41546892148525,-81.8443281247616
Rwy_04_006,35,41.41546892148525,-81.8443281247616,Txy_W_001,81,41.41545009670589,-81.84349147682504
Txy_W_001,81,41.41545009670589,-81.84349147682504,Txy_W_002,82,41.4154298886067,-81.84292454294416
Txy_W_002,82,41.4154298886067,-81.84292454294416,Rwy_02_008,15,41.41538634891867,-81.84195221255445
Rwy_02_008,15,41.41538634891867,-81.84195221255445,Rwy_02_009,16,41.41573920579542,-81.84139654199217
Rwy_02_009,16,41.41573920579542,-81.84139654199217,Rwy_02_03,17,41.41641565563948,-81.84032951471174
Txy_W_003,83,41.41514777723227,-81.84072878428367,Rwy_02_008,15,41.41538634891867,-81.84195221255445
Txy_W_003,83,41.41514777723227,-81.84072878428367,Txy_W_L,84,41.41488300010953,-81.84042743966926
Txy_W_004,85,41.41467139895351,-81.84018800757713,Txy_W_L,84,41.41488300010953,-81.84042743966926
Txy_W_J,86,41.41449894057877,-81.83995795253755,Txy_W_004,85,41.41467139895351,-81.84018800757713
Txy_L_011,127,41.41411371648192,-81.84170339491462,Txy_W_L,84,41.41488300010953,-81.84042743966926
Rwy_03_009,28,41.41625743253928,-81.8366586830438,Txy_J_U,146,41.41515728126939,-81.83670671847857
Txy_J_008,145,41.41522806827949,-81.83848231822861,Txy_J_U,146,41.41515728126939,-81.83670671847857
Txy_J_U,146,41.41515728126939,-81.83670671847857,Txy_JJ_J,148,41.41503207057549,-81.8335453039278
Txy_JJ_J,148,41.41503207057549,-81.8335453039278,Txy_JJ_Y,150,41.41465588952246,-81.83335765172629
Txy_JJ_Y,150,41.41465588952246,-81.83335765172629,Parking_01_001,327,41.4132474735082,-81.83392798942471
Parking_01_001,327,41.4132474735082,-81.83392798942471,Txy_Y_001,149,41.4141513084722,-81.83561228687623
